CryoSleep,Age,VIP,Target,Num,over_15,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,Deck_encoded,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Side_P,Side_S
0,39.0,0,False,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,24.0,0,True,0,1,1.0,0.0,0.0,0.0,5.0,109.0,9.0,25.0,549.0,44.0,0.0,1.0
0,58.0,1,False,0,1,0.0,1.0,0.0,0.0,0.0,43.0,3576.0,0.0,6715.0,49.0,0.0,1.0
0,33.0,0,False,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1283.0,371.0,3329.0,193.0,0.0,1.0
0,16.0,0,True,1,1,1.0,0.0,0.0,0.0,5.0,303.0,70.0,151.0,565.0,2.0,0.0,1.0
0,44.0,0,True,0,1,1.0,0.0,0.0,0.0,5.0,0.0,483.0,0.0,291.0,0.0,1.0,0.0
0,26.0,0,True,2,1,1.0,0.0,0.0,0.0,5.0,42.0,1539.0,3.0,0.0,0.0,0.0,1.0
1,28.0,0,True,0,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,35.0,0,True,3,1,1.0,0.0,0.0,0.0,5.0,0.0,785.0,17.0,216.0,0.0,0.0,1.0
1,14.0,0,True,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,34.0,0,True,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,45.0,0,True,1,1,0.0,1.0,0.0,0.0,1.0,39.0,7295.0,589.0,110.0,124.0,1.0,0.0
0,32.0,0,True,1,1,0.0,0.0,1.0,0.0,5.0,73.0,0.0,1123.0,0.0,113.0,1.0,0.0
0,48.0,0,False,1,1,1.0,0.0,0.0,0.0,6.0,719.0,1.0,65.0,0.0,24.0,0.0,1.0
0,28.0,0,True,2,1,1.0,0.0,0.0,0.0,5.0,8.0,974.0,12.0,2.0,7.0,1.0,0.0
0,27.0,0,False,3,1,0.0,0.0,1.0,0.0,5.0,1286.0,122.0,0.0,0.0,0.0,1.0,0.0
0,24.0,0,False,4,1,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,637.0,1.0,0.0
1,45.0,0,True,5,1,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,0,True,0,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,14.0,0,False,6,0,1.0,0.0,0.0,0.0,5.0,412.0,0.0,1.0,0.0,679.0,1.0,0.0
1,1.0,0,False,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,49.0,0,False,0,1,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,29.0,0,False,0,1,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,10.0,0,True,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0,False,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,7.0,0,False,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,21.0,0,False,0,1,0.0,0.0,1.0,0.0,3.0,980.0,2.0,69.0,0.0,0.0,1.0,0.0
1,62.0,0,True,2,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,15.0,0,False,6,0,1.0,0.0,0.0,0.0,5.0,0.0,225.0,0.0,998.0,0.0,0.0,1.0
0,34.0,0,False,0,1,0.0,1.0,0.0,0.0,2.0,22.0,6073.0,0.0,1438.0,328.0,1.0,0.0
0,43.0,0,False,8,1,0.0,0.0,1.0,0.0,5.0,1125.0,0.0,136.0,48.0,0.0,1.0,0.0
0,32.0,0,False,4,1,1.0,0.0,0.0,0.0,6.0,0.0,850.0,81.0,437.0,453.0,0.0,1.0
0,47.0,0,True,9,1,0.0,0.0,1.0,0.0,5.0,214.0,0.0,1411.0,0.0,1229.0,1.0,0.0
0,2.0,0,True,9,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,20.0,0,True,9,1,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1750.0,990.0,0.0,1.0,0.0
1,28.0,0,True,1,1,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,23.0,0,False,1,1,0.0,0.0,1.0,0.0,3.0,784.0,964.0,0.0,951.0,0.0,1.0,0.0
0,15.0,0,False,8,0,1.0,0.0,0.0,0.0,5.0,0.0,492.0,48.0,20.0,401.0,0.0,1.0
0,20.0,0,False,10,1,1.0,0.0,0.0,0.0,5.0,554.0,195.0,0.0,2606.0,0.0,0.0,1.0
1,30.0,0,False,1,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,17.0,0,True,2,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,45.0,0,False,3,1,0.0,1.0,0.0,0.0,1.0,0.0,164.0,45.0,2511.0,855.0,1.0,0.0
1,55.0,0,False,3,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,4.0,0,True,3,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,21.0,0,True,3,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,21.0,0,False,10,1,0.0,0.0,1.0,0.0,5.0,970.0,0.0,180.0,0.0,64.0,1.0,0.0
1,19.0,0,True,10,1,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,35.0,0,False,1,1,1.0,0.0,0.0,0.0,4.0,790.0,0.0,0.0,0.0,0.0,0.0,1.0
0,56.0,0,False,2,1,1.0,0.0,0.0,0.0,4.0,0.0,112.0,0.0,1379.0,127.0,0.0,1.0
0,25.0,0,True,11,1,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1938.0,0.0,1.0,0.0,1.0
0,2.0,0,True,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,38.0,0,True,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,27.0,0,True,1,1,0.0,1.0,0.0,0.0,0.0,279.0,605.0,3374.0,286.0,3.0,0.0,1.0
1,36.0,0,False,7,1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,22.0,0,False,12,1,1.0,0.0,0.0,0.0,5.0,45.0,1096.0,148.0,1377.0,1.0,0.0,1.0
0,62.0,0,False,13,1,1.0,0.0,0.0,0.0,5.0,0.0,592.0,0.0,17.0,25.0,0.0,1.0
1,15.0,0,True,14,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,33.0,0,True,3,1,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,62.0,0,False,6,1,1.0,0.0,0.0,0.0,6.0,1.0,153.0,197.0,0.0,460.0,1.0,0.0
1,0.0,0,True,10,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,18.0,0,True,10,1,1.0,0.0,0.0,0.0,6.0,1.0,258.0,446.0,0.0,0.0,0.0,1.0
0,21.0,0,False,15,1,1.0,0.0,0.0,0.0,5.0,1946.0,37.0,0.0,0.0,24.0,0.0,1.0
